representacao,tipo,algoritmo,vertices,densidade,execucao,tempo_ns,memoria_bytes
LA,denso,Dijkstra,200,1.00,6,393000,3336776
MA,denso,Dijkstra,200,1.00,6,581600,5003488
LA,denso,Bellman-Ford,200,1.00,6,11835800,3336776
MA,denso,Bellman-Ford,200,1.00,6,6595400,5003488
LA,denso,Dijkstra,200,1.00,7,369300,3336776
MA,denso,Dijkstra,200,1.00,7,776300,5003488
LA,denso,Bellman-Ford,200,1.00,7,11395700,3336776
MA,denso,Bellman-Ford,200,1.00,7,7485300,5003488
LA,denso,Dijkstra,200,1.00,8,518300,3336776
MA,denso,Dijkstra,200,1.00,8,775700,5003488
LA,denso,Bellman-Ford,200,1.00,8,10862800,3336776
MA,denso,Bellman-Ford,200,1.00,8,6761900,5003488
LA,denso,Dijkstra,200,1.00,9,374600,3336776
MA,denso,Dijkstra,200,1.00,9,801900,5003488
LA,denso,Bellman-Ford,200,1.00,9,10996700,3336776
MA,denso,Bellman-Ford,200,1.00,9,6510000,5003488
LA,denso,Dijkstra,200,1.00,10,376300,3336776
MA,denso,Dijkstra,200,1.00,10,967100,5003488
LA,denso,Bellman-Ford,200,1.00,10,14766800,3336776
MA,denso,Bellman-Ford,200,1.00,10,6889000,5003488
LA,esparso,Dijkstra,200,0.20,1,117500,3670016
MA,esparso,Dijkstra,200,0.20,1,274800,3519640
LA,esparso,Bellman-Ford,200,0.20,1,2511100,3670016
MA,esparso,Bellman-Ford,200,0.20,1,1871600,3519640
LA,esparso,Dijkstra,200,0.20,2,128300,3670016
MA,esparso,Dijkstra,200,0.20,2,273800,3519640
LA,esparso,Bellman-Ford,200,0.20,2,2461500,3670016
MA,esparso,Bellman-Ford,200,0.20,2,1891600,3519640
LA,esparso,Dijkstra,200,0.20,3,122200,3670016
MA,esparso,Dijkstra,200,0.20,3,263000,3519640
LA,esparso,Bellman-Ford,200,0.20,3,2440200,3670016
MA,esparso,Bellman-Ford,200,0.20,3,1851700,3519640
LA,esparso,Dijkstra,200,0.20,4,122000,3670016
MA,esparso,Dijkstra,200,0.20,4,280300,3519640
LA,esparso,Bellman-Ford,200,0.20,4,3156100,3670016
MA,esparso,Bellman-Ford,200,0.20,4,1872000,3519640
LA,esparso,Dijkstra,200,0.20,5,125600,3670016
MA,esparso,Dijkstra,200,0.20,5,277600,3519640
LA,esparso,Bellman-Ford,200,0.20,5,2388200,3670016
MA,esparso,Bellman-Ford,200,0.20,5,3067900,3519640
LA,esparso,Dijkstra,200,0.20,6,141700,3670016
MA,esparso,Dijkstra,200,0.20,6,284800,3519640
LA,esparso,Bellman-Ford,200,0.20,6,2478400,3670016
MA,esparso,Bellman-Ford,200,0.20,6,1910300,3519640
LA,esparso,Dijkstra,200,0.20,7,175200,3670016
